Name,Year,Mileage,Engine_capacity,Engine_type,Power,Transmission,Drive,Fuel_consumption_mixed,Acceleration_to_100,Cost
BMW 3 серия 2.0 AT,2004,530000,2,Бензин,143,Автомат,Задний,8.2,10.5,670000
BMW 1 серия 2.0 AT,2007,305361,2,Бензин,136,Автомат,Задний,7.6,10.1,670000
BMW X5 3.0 AT,2001,408000,3,Бензин,231,Автомат,Полный,12.9,8.8,670000
BMW 1 серия 1.6 AT,2010,233223,1.6,Бензин,115,Автомат,Задний,7.7,12.3,679000
BMW 5 серия 2.5 MT,2001,413000,2.5,Дизель,163,Механика,Задний,7,9.4,680000
BMW 1 серия 1.6 AT,2009,230000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,685000
BMW 5 серия 2.5 MT,1995,200000,2.5,Бензин,170,Механика,Задний,9.5,9.5,689000
BMW 5 серия 2.8 MT,1997,450000,2.8,Бензин,193,Механика,Задний,9.9,7.9,690000
BMW 5 серия 2.0 MT,1990,490000,2,Бензин,150,Механика,Задний,8.9,10.6,690000
BMW 3 серия 2.5 MT,2001,435500,2.5,Бензин,192,Механика,Задний,9,7.3,690000
BMW 1 серия 1.6 AT,2008,226000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,696000
BMW 1 серия 1.6 AT,2010,186496,1.6,Бензин,115,Автомат,Задний,7.7,12.3,699000
BMW X5 4.4 AT,2002,300000,4.4,Бензин,286,Автомат,Полный,13.9,7.5,700000
BMW 3 серия 2.2 AT,2001,433000,2.2,Бензин,170,Автомат,Задний,9.4,9.3,700000
BMW X5 4.4 AT,2001,316000,4.4,Бензин,286,Автомат,Полный,13.9,7.5,700000
BMW 1 серия 2.0 AT,2008,270000,2,Бензин,156,Автомат,Задний,7.6,9.1,700000
BMW 1 серия 2.0 AT,2005,333187,2,Бензин,129,Автомат,Задний,7.3,9.4,700000
BMW X3 2.0 MT,2013,162000,2,Дизель,184,Механика,Полный,5.6,8.5,705000
BMW 1 серия 1.6 AT,2009,186000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,710000
BMW 1 серия 1.6 AT,2009,219729,1.6,Бензин,115,Автомат,Задний,7.7,12.3,719000
BMW 1 серия 2.0 AT,2006,290000,2,Бензин,150,Автомат,Задний,6.5,9.2,720000
BMW 1 серия 2.0 AT,2010,249000,2,Бензин,136,Автомат,Задний,7.6,10.1,730000
BMW 1 серия 2.0 AT,2006,309000,2,Дизель,163,Автомат,Задний,5.4,8.2,735000
BMW 1 серия 1.6 AT,2011,191883,1.6,Бензин,115,Автомат,Задний,7.7,12.3,745000
BMW 1 серия 2.0 AT,2006,180200,2,Бензин,150,Автомат,Задний,6.5,9.2,750000
BMW 3 серия 2.9 AT,2001,594200,2.9,Дизель,184,Автомат,Задний,9.3,7.4,750000
BMW 7 серия 4.4 AT,2002,360000,4.4,Бензин,333,Автомат,Задний,12.8,6.3,750000
BMW 1 серия 1.6 AT,2011,269356,1.6,Бензин,115,Автомат,Задний,7.7,12.3,750000
BMW 3 серия 2.0 AT,2008,230000,2,Бензин,156,Автомат,Задний,7.9,9.7,750000
BMW 1 серия 1.6 AT,2008,225000,1.6,Бензин,122,Автомат,Задний,6.4,11.2,750000
BMW 1 серия 1.6 MT,2006,230506,1.6,Бензин,115,Механика,Задний,7.5,10.8,750000
BMW 1 серия 1.6 MT,2007,215200,1.6,Бензин,115,Механика,Задний,7.7,10.8,755000
BMW 3 серия 2.0 AT,2007,235000,2,Бензин,150,Автомат,Задний,7.9,9.7,760000
BMW X5 3.0 AT,2003,409345,3,Бензин,231,Автомат,Полный,12.9,8.8,760000
BMW 3 серия 2.0 AT,2006,286102,2,Бензин,150,Автомат,Задний,7.9,9.7,760000
BMW X3 3.0 AT,2005,269000,3,Бензин,231,Автомат,Полный,12.1,8.1,765000
BMW X5 3.0 AT,2003,295384,3,Бензин,231,Автомат,Полный,12.9,8.8,770000
BMW X3 3.0 AT,2005,347000,3,Бензин,231,Автомат,Полный,12.1,8.1,770000
BMW 1 серия 1.6 AT,2011,170000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,770000
BMW 5 серия 2.2 AT,2004,390000,2.2,Бензин,170,Автомат,Задний,9.8,9.9,775000
BMW 1 серия 1.6 AT,2008,198000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,780000
BMW 1 серия 2.0 AT,2006,307000,2,Бензин,129,Автомат,Задний,7.3,9.4,780000
BMW X5 3.0 AT,2004,316892,3,Бензин,231,Автомат,Полный,12.9,8.8,780000
BMW 1 серия 1.6 AT,2010,273000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,785000
BMW X5 3.0 AT,2001,400444,3,Бензин,231,Автомат,Полный,12.9,8.8,787878
BMW X5 3.0 AT,2000,362000,3,Бензин,231,Автомат,Полный,12.9,8.8,799000
BMW 5 серия 3.0 AT,2004,350000,3,Бензин,231,Автомат,Задний,9.9,7.1,800000
BMW X3 2.0 MT,2006,259000,2,Дизель,150,Механика,Полный,7.2,10.2,800000
BMW 1 серия 2.0 AT,2007,230000,2,Бензин,156,Автомат,Задний,7.6,9.1,800000
BMW 1 серия 1.6 AT,2011,173800,1.6,Бензин,115,Автомат,Задний,7.7,12.3,800000
BMW 5 серия 3.0 MT,2001,525300,3,Бензин,231,Механика,Задний,9.5,7.1,800000
BMW X5 3.0 AT,2003,350000,3,Бензин,231,Автомат,Полный,12.9,8.8,820000
BMW X5 3.0 AT,2001,250000,3,Бензин,231,Автомат,Полный,12.9,8.8,820000
BMW 1 серия 1.6 AT,2011,158940,1.6,Бензин,115,Автомат,Задний,7.7,12.3,820000
BMW 3 серия 2.0 AT,2010,206798,2,Бензин,136,Автомат,Задний,7.8,10.8,825000
BMW 5 серия 2.5 AT,2006,274900,2.5,Бензин,218,Автомат,Задний,9.4,7.9,830000
BMW 3 серия 3.0 AT,2005,315000,3,Бензин,258,Автомат,Задний,9,6.6,840000
BMW 3 серия 2.0 AT,2011,174000,2,Бензин,136,Автомат,Задний,7.8,10.8,840000
BMW 1 серия 1.6 AT,2010,171000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,840000
BMW 3 серия 2.0 AT,2008,313000,2,Дизель,177,Автомат,Задний,5.6,7.9,845000
BMW 1 серия 1.6 AT,2010,170000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,849000
BMW 3 серия 1.6 MT,1990,123456,1.6,Бензин,100,Механика,Задний,8.6,12,849000
BMW 3 серия 2.0 AT,2008,260000,2,Бензин,150,Автомат,Задний,7.9,9.7,849000
BMW X5 3.0 AT,2005,308000,3,Бензин,231,Автомат,Полный,12.9,8.8,849000
BMW 3 серия 2.0 AT,2004,230000,2,Бензин,143,Автомат,Задний,8.1,10.2,849000
BMW X1 2.0 AT,2011,186755,2,Бензин,150,Автомат,Задний,8.2,9.7,849900
BMW X3 3.0 AT,2004,128710,3,Бензин,231,Автомат,Полный,12.1,8.1,850000
BMW 3 серия 2.0 AT,2008,197000,2,Бензин,156,Автомат,Задний,7.9,9.7,850000
BMW 1 серия 2.0 AT,2007,194500,2,Бензин,136,Автомат,Задний,7.6,10.1,850000
BMW 1 серия 2.0 AT,2007,173046,2,Бензин,156,Автомат,Задний,7.6,9.2,850000
BMW 7 серия 2.8 AT,1999,504600,2.8,Бензин,193,Автомат,Задний,11.1,9.6,850000
BMW 3 серия 2.0 AT,2005,237000,2,Бензин,150,Автомат,Задний,7.9,9.7,850000
BMW 3 серия 2.0 MT,2004,256000,2,Бензин,143,Механика,Задний,7.4,9.6,850000
BMW 3 серия 2.5 AT,2006,245000,2.5,Бензин,218,Автомат,Задний,8.4,7.7,850000
BMW 7 серия 3.0 MT,1989,275000,3,Бензин,188,Механика,Задний,11.1,9.3,850000
BMW 3 серия 2.0 AT,2011,181000,2,Бензин,136,Автомат,Задний,7.8,10.8,855000
BMW 3 серия 2.5 AT,2006,236861,2.5,Бензин,218,Автомат,Задний,7.1,7.2,859990
BMW X5 2.9 AT,2003,470000,2.9,Дизель,184,Автомат,Полный,9.7,10.5,860000
BMW X3 2.0 AT,2010,340116,2,Дизель,177,Автомат,Полный,7,9.2,865000
BMW 3 серия 2.5 AT,2007,250000,2.5,Бензин,218,Автомат,Задний,8.4,7.7,870000
BMW 3 серия 2.5 AT,2002,432000,2.5,Бензин,170,Автомат,Задний,10,9,870000
BMW 3 серия 2.0 AT,2009,235000,2,Бензин,136,Автомат,Задний,7.8,10.8,879000
BMW 5 серия 2.0 MT,2007,379457,2,Дизель,163,Механика,Задний,6.1,8.9,880000
BMW 3 серия 2.5 AT,2007,350000,2.5,Бензин,218,Автомат,Задний,8.4,7.7,885000
BMW 3 серия 2.2 AT,2003,204000,2.2,Бензин,170,Автомат,Задний,9.4,9.3,890000
BMW 3 серия 2.0 MT,2008,274000,2,Бензин,170,Механика,Задний,6.4,8.2,890000
BMW X3 2.5 AT,2009,190000,2.5,Бензин,218,Автомат,Полный,10.1,8.9,890000
BMW 1 серия 1.6 AT,2010,232000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,899000
BMW 1 серия 1.6 AT,2010,189000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,899000
BMW 5 серия 2.0 AT,2008,326100,2,Дизель,177,Автомат,Задний,6.1,8.4,899000
BMW 5 серия 2.2 MT,2004,217500,2.2,Бензин,170,Механика,Задний,9,9,899990
BMW X3 2.5 AT,2006,296000,2.5,Бензин,218,Автомат,Полный,10.1,8.9,900000
BMW 3 серия 2.0 AT,2008,182000,2,Бензин,136,Автомат,Задний,7.4,9.8,900000
BMW 1 серия 1.6 AT,2011,200000,1.6,Бензин,115,Автомат,Задний,7.7,12.3,900000
BMW 5 серия 2.8 MT,1998,373000,2.8,Бензин,193,Механика,Задний,9.9,7.9,900000
BMW 3 серия 3.0 AT,2005,291000,3,Бензин,258,Автомат,Задний,9,6.6,900000
BMW X5 3.0 AT,2004,420000,3,Бензин,231,Автомат,Полный,12.9,8.8,900000
